NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Add course,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.333333333333333,4.875,3,5,7
2,Delete course,10,2,3,3,1,9,2,1,4,1,0,0,4,1,0,0,0,0,1.1111111111111112,4.5,5,4,10,8
3,Modify course,11,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.375,4.333333333333333,5.958333333333333,3,5,7
4,Verify new course,12,2,3,3,2,10,2,2,5,1,0,0,5,2,0,0,0,0,1.2,4.2,5.04,5,10,9
5,Request new course,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3,5,7
6,Update schedule,13,1,4,4,1,10,3,2,5,0,0,0,5,2,0,0,0,0,1.3,4.2,5.460000000000001,5,10,11
7,Login,12,1,4,3,2,10,3,2,5,0,0,0,5,2,0,0,0,0,1.2,4.4,5.28,5,10,11
8,Logout,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
9,Setup account,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4.666666666666667,5.333333333333333,3,5,7
10,Share course,13,1,4,4,2,11,3,2,5,0,0,0,5,2,0,0,0,0,1.1818181818181819,4,4.7272727272727275,5,10,11
11,Search course,12,1,4,2,1,8,3,1,4,0,0,0,4,1,0,0,0,0,1.5,4,6,4,10,10
12,Register course,16,3,5,5,0,13,3,0,5,2,2,1,5,0,0,0,0,0,1.2307692307692308,3.6666666666666665,4.512820512820513,6,10,7
13,Review course,12,1,4,3,1,9,3,1,4,0,0,0,4,1,0,0,0,0,1.3333333333333333,4,5.333333333333333,4,10,10
