id,element,useCase,type,component
1,administrator:school list page,add path,boundary,SPSListScreen
2,administrator:success message,add path,control,Survey Management
3,administrator:map view,add path,boundary,Map
4,drap starting point and type path name:success message,add path,control,Survey Management
5,drap starting point and type path name:save path and location information,add path,control,SurveyConfigurationPage
6,map view:drap starting point and type path name,add path,control,Association Management
7,pin the location in map:map view,add path,boundary,Map
8,save path and location information:path and location information,add path,control,Association Management
9,school list page:pin the location in map,add path,control,Association Management
10,stl#administrator:school list page,add path,Stimulus,undefined
11,stl#administrator:success message,add path,Stimulus,undefined
12,stl#administrator:map view,add path,Stimulus,undefined
